State,Year,Quarter,District,Registered_users,App_opens
andaman-&-nicobar-islands,2022,1,North and Middle Andaman,10720,904869
andaman-&-nicobar-islands,2022,1,South Andaman,63487,2368756
andaman-&-nicobar-islands,2022,1,Nicobars,2081,573782
andaman-&-nicobar-islands,2022,2,North and Middle Andaman,11379,963824
andaman-&-nicobar-islands,2022,2,South Andaman,66959,3404740
andaman-&-nicobar-islands,2022,2,Nicobars,2192,811449
andaman-&-nicobar-islands,2022,3,North and Middle Andaman,11897,1176567
andaman-&-nicobar-islands,2022,3,South Andaman,70445,3607286
andaman-&-nicobar-islands,2022,3,Nicobars,2300,1284501
andaman-&-nicobar-islands,2022,4,North and Middle Andaman,12361,313502
andaman-&-nicobar-islands,2022,4,South Andaman,73692,3881359
andaman-&-nicobar-islands,2022,4,Nicobars,2389,159232
andaman-&-nicobar-islands,2024,1,North and Middle Andaman,15539,9022450
andaman-&-nicobar-islands,2024,1,South Andaman,89907,12147903
andaman-&-nicobar-islands,2024,1,Nicobars,2965,7368398
andaman-&-nicobar-islands,2024,2,North and Middle Andaman,16183,6159746
andaman-&-nicobar-islands,2024,2,South Andaman,93421,6749599
andaman-&-nicobar-islands,2024,2,Nicobars,3083,3967538
andaman-&-nicobar-islands,2024,3,North and Middle Andaman,21728,9789799
andaman-&-nicobar-islands,2024,3,South Andaman,143250,6545536
andaman-&-nicobar-islands,2024,3,Nicobar,7495,3219511
andaman-&-nicobar-islands,2024,4,North and Middle Andaman,22547,2194985
andaman-&-nicobar-islands,2024,4,South Andaman,148543,15101583
andaman-&-nicobar-islands,2024,4,Nicobar,7698,1395115
andaman-&-nicobar-islands,2023,1,North and Middle Andaman,12941,3103047
andaman-&-nicobar-islands,2023,1,South Andaman,77052,5450795
andaman-&-nicobar-islands,2023,1,Nicobars,2491,2458822
andaman-&-nicobar-islands,2023,2,North and Middle Andaman,13600,3174229
andaman-&-nicobar-islands,2023,2,South Andaman,80112,6884657
andaman-&-nicobar-islands,2023,2,Nicobars,2617,4679790
andaman-&-nicobar-islands,2023,3,North and Middle Andaman,14216,7130284
andaman-&-nicobar-islands,2023,3,South Andaman,83305,5950899
andaman-&-nicobar-islands,2023,3,Nicobars,2734,7463896
andaman-&-nicobar-islands,2023,4,North and Middle Andaman,14813,1869462
andaman-&-nicobar-islands,2023,4,South Andaman,86348,7452861
andaman-&-nicobar-islands,2023,4,Nicobars,2817,523637
andaman-&-nicobar-islands,2019,1,North and Middle Andaman,2013,0
andaman-&-nicobar-islands,2019,1,South Andaman,15961,0
andaman-&-nicobar-islands,2019,1,Nicobars,622,0
andaman-&-nicobar-islands,2019,2,North and Middle Andaman,2417,6118
andaman-&-nicobar-islands,2019,2,South Andaman,18621,43569
andaman-&-nicobar-islands,2019,2,Nicobars,693,2953
andaman-&-nicobar-islands,2019,3,North and Middle Andaman,2662,22064
andaman-&-nicobar-islands,2019,3,South Andaman,20518,138190
andaman-&-nicobar-islands,2019,3,Nicobars,751,10853
andaman-&-nicobar-islands,2019,4,North and Middle Andaman,2955,26253
andaman-&-nicobar-islands,2019,4,South Andaman,22202,139646
andaman-&-nicobar-islands,2019,4,Nicobars,803,11113
andaman-&-nicobar-islands,2021,1,North and Middle Andaman,7833,121680
andaman-&-nicobar-islands,2021,1,South Andaman,48352,837589
andaman-&-nicobar-islands,2021,1,Nicobars,1573,45067
andaman-&-nicobar-islands,2021,2,North and Middle Andaman,8493,596182
andaman-&-nicobar-islands,2021,2,South Andaman,51903,1270226
andaman-&-nicobar-islands,2021,2,Nicobars,1699,381815
andaman-&-nicobar-islands,2021,3,North and Middle Andaman,9263,759314
andaman-&-nicobar-islands,2021,3,South Andaman,55873,1771107
andaman-&-nicobar-islands,2021,3,Nicobars,1846,591204
andaman-&-nicobar-islands,2021,4,North and Middle Andaman,10002,171921
andaman-&-nicobar-islands,2021,4,South Andaman,59807,1863037
andaman-&-nicobar-islands,2021,4,Nicobars,1971,77952
andaman-&-nicobar-islands,2020,1,North and Middle Andaman,3315,30444
andaman-&-nicobar-islands,2020,1,South Andaman,24174,151529
andaman-&-nicobar-islands,2020,1,Nicobars,879,11613
andaman-&-nicobar-islands,2020,2,North and Middle Andaman,4100,56992
andaman-&-nicobar-islands,2020,2,South Andaman,27626,231071
andaman-&-nicobar-islands,2020,2,Nicobars,984,17009
andaman-&-nicobar-islands,2020,3,North and Middle Andaman,5355,76553
andaman-&-nicobar-islands,2020,3,South Andaman,34833,417785
andaman-&-nicobar-islands,2020,3,Nicobars,1147,21227
andaman-&-nicobar-islands,2020,4,North and Middle Andaman,7076,125915
andaman-&-nicobar-islands,2020,4,South Andaman,43908,725321
andaman-&-nicobar-islands,2020,4,Nicobars,1412,35972
andaman-&-nicobar-islands,2018,1,North and Middle Andaman,632,0
andaman-&-nicobar-islands,2018,1,South Andaman,5846,0
andaman-&-nicobar-islands,2018,1,Nicobars,262,0
andaman-&-nicobar-islands,2018,2,North and Middle Andaman,911,0
andaman-&-nicobar-islands,2018,2,South Andaman,8143,0
andaman-&-nicobar-islands,2018,2,Nicobars,351,0
andaman-&-nicobar-islands,2018,3,North and Middle Andaman,1208,0
andaman-&-nicobar-islands,2018,3,South Andaman,10474,0
andaman-&-nicobar-islands,2018,3,Nicobars,467,0
andaman-&-nicobar-islands,2018,4,North and Middle Andaman,1553,0
andaman-&-nicobar-islands,2018,4,South Andaman,13133,0
andaman-&-nicobar-islands,2018,4,Nicobars,536,0
tamil-nadu,2022,1,Tiruchirappalli,688562,20900419
tamil-nadu,2022,1,Ramanathapuram,210698,17777779
tamil-nadu,2022,1,Krishnagiri,776101,41868147
tamil-nadu,2022,1,Cuddalore,527223,15255170
tamil-nadu,2022,1,Kancheepuram,1158719,11803314
tamil-nadu,2022,1,Tiruppur,1014036,24784887
tamil-nadu,2022,1,Dharmapuri,404709,29735879
tamil-nadu,2022,1,Thoothukkudi,327607,16229136
tamil-nadu,2022,1,Thanjavur,445883,13460902
tamil-nadu,2022,1,Madurai,820952,18688722
tamil-nadu,2022,1,Tiruvannamalai,489026,28400548
tamil-nadu,2022,1,Salem,905104,31202884
tamil-nadu,2022,1,Nagapattinam,226781,9648543
tamil-nadu,2022,1,Tirupathur,317064,12811064
tamil-nadu,2022,1,Ariyalur,134075,8238011
