State,Year,Quarter,District,Registered_users
andaman-&-nicobar-islands,2022,1,South Andaman,63487
andaman-&-nicobar-islands,2022,1,North and Middle Andaman,10720
andaman-&-nicobar-islands,2022,1,Nicobars,2081
andaman-&-nicobar-islands,2022,2,South Andaman,66959
andaman-&-nicobar-islands,2022,2,North and Middle Andaman,11379
andaman-&-nicobar-islands,2022,2,Nicobars,2192
andaman-&-nicobar-islands,2022,3,South Andaman,70445
andaman-&-nicobar-islands,2022,3,North and Middle Andaman,11897
andaman-&-nicobar-islands,2022,3,Nicobars,2300
andaman-&-nicobar-islands,2022,4,South Andaman,73692
andaman-&-nicobar-islands,2022,4,North and Middle Andaman,12361
andaman-&-nicobar-islands,2022,4,Nicobars,2389
andaman-&-nicobar-islands,2024,1,South Andaman,89907
andaman-&-nicobar-islands,2024,1,North and Middle Andaman,15539
andaman-&-nicobar-islands,2024,1,Nicobars,2965
andaman-&-nicobar-islands,2024,2,South Andaman,93421
andaman-&-nicobar-islands,2024,2,North and Middle Andaman,16183
andaman-&-nicobar-islands,2024,2,Nicobars,3083
andaman-&-nicobar-islands,2024,3,South Andaman,143250
andaman-&-nicobar-islands,2024,3,North and Middle Andaman,21728
andaman-&-nicobar-islands,2024,3,Nicobar,7495
andaman-&-nicobar-islands,2024,4,South Andaman,148543
andaman-&-nicobar-islands,2024,4,North and Middle Andaman,22547
andaman-&-nicobar-islands,2024,4,Nicobar,7698
andaman-&-nicobar-islands,2023,1,South Andaman,77052
andaman-&-nicobar-islands,2023,1,North and Middle Andaman,12941
andaman-&-nicobar-islands,2023,1,Nicobars,2491
andaman-&-nicobar-islands,2023,2,South Andaman,80112
andaman-&-nicobar-islands,2023,2,North and Middle Andaman,13600
andaman-&-nicobar-islands,2023,2,Nicobars,2617
andaman-&-nicobar-islands,2023,3,South Andaman,83305
andaman-&-nicobar-islands,2023,3,North and Middle Andaman,14216
andaman-&-nicobar-islands,2023,3,Nicobars,2734
andaman-&-nicobar-islands,2023,4,South Andaman,86348
andaman-&-nicobar-islands,2023,4,North and Middle Andaman,14813
andaman-&-nicobar-islands,2023,4,Nicobars,2817
andaman-&-nicobar-islands,2019,1,South Andaman,15961
andaman-&-nicobar-islands,2019,1,North and Middle Andaman,2013
andaman-&-nicobar-islands,2019,1,Nicobars,622
andaman-&-nicobar-islands,2019,2,South Andaman,18621
andaman-&-nicobar-islands,2019,2,North and Middle Andaman,2417
andaman-&-nicobar-islands,2019,2,Nicobars,693
andaman-&-nicobar-islands,2019,3,South Andaman,20518
andaman-&-nicobar-islands,2019,3,North and Middle Andaman,2662
andaman-&-nicobar-islands,2019,3,Nicobars,751
andaman-&-nicobar-islands,2019,4,South Andaman,22202
andaman-&-nicobar-islands,2019,4,North and Middle Andaman,2955
andaman-&-nicobar-islands,2019,4,Nicobars,803
andaman-&-nicobar-islands,2021,1,South Andaman,48352
andaman-&-nicobar-islands,2021,1,North and Middle Andaman,7833
andaman-&-nicobar-islands,2021,1,Nicobars,1573
andaman-&-nicobar-islands,2021,2,South Andaman,51903
andaman-&-nicobar-islands,2021,2,North and Middle Andaman,8493
andaman-&-nicobar-islands,2021,2,Nicobars,1699
andaman-&-nicobar-islands,2021,3,South Andaman,55873
andaman-&-nicobar-islands,2021,3,North and Middle Andaman,9263
andaman-&-nicobar-islands,2021,3,Nicobars,1846
andaman-&-nicobar-islands,2021,4,South Andaman,59807
andaman-&-nicobar-islands,2021,4,North and Middle Andaman,10002
andaman-&-nicobar-islands,2021,4,Nicobars,1971
andaman-&-nicobar-islands,2020,1,South Andaman,24174
andaman-&-nicobar-islands,2020,1,North and Middle Andaman,3315
andaman-&-nicobar-islands,2020,1,Nicobars,879
andaman-&-nicobar-islands,2020,2,South Andaman,27626
andaman-&-nicobar-islands,2020,2,North and Middle Andaman,4100
andaman-&-nicobar-islands,2020,2,Nicobars,984
andaman-&-nicobar-islands,2020,3,South Andaman,34833
andaman-&-nicobar-islands,2020,3,North and Middle Andaman,5355
andaman-&-nicobar-islands,2020,3,Nicobars,1147
andaman-&-nicobar-islands,2020,4,South Andaman,43908
andaman-&-nicobar-islands,2020,4,North and Middle Andaman,7076
andaman-&-nicobar-islands,2020,4,Nicobars,1412
andaman-&-nicobar-islands,2018,1,South Andaman,5846
andaman-&-nicobar-islands,2018,1,North and Middle Andaman,632
andaman-&-nicobar-islands,2018,1,Nicobars,262
andaman-&-nicobar-islands,2018,2,South Andaman,8143
andaman-&-nicobar-islands,2018,2,North and Middle Andaman,911
